iter	Passed	Remaining
0	2	214
1	4	201
2	5	189
3	7	174
4	9	174
5	11	172
6	12	172
7	14	169
8	16	166
9	18	164
10	20	162
11	21	160
12	23	157
13	25	155
14	27	154
15	28	151
16	30	149
17	32	147
18	34	145
19	35	143
20	37	141
21	39	139
22	40	137
23	42	135
24	44	133
25	46	131
26	47	129
27	49	127
28	51	126
29	53	124
30	54	122
31	56	120
32	58	118
33	60	116
34	61	115
35	63	113
36	65	111
37	67	109
38	69	108
39	70	106
40	72	104
41	73	101
42	75	99
43	76	97
44	78	96
45	80	94
46	82	92
47	83	90
48	85	89
49	87	87
50	89	85
51	90	83
52	92	82
53	94	80
54	95	78
55	97	76
56	98	74
57	100	72
58	102	71
59	104	69
60	106	67
61	108	66
62	110	64
63	111	62
64	113	61
65	115	59
66	117	57
67	119	56
68	121	54
69	123	52
70	125	51
71	127	49
72	129	47
73	131	46
74	133	44
75	134	42
76	136	40
77	138	39
78	140	37
79	142	35
80	143	33
81	145	31
82	147	30
83	149	28
84	151	26
85	153	24
86	154	23
87	156	21
88	158	19
89	160	17
90	161	16
91	163	14
92	165	12
93	167	10
94	168	8
95	170	7
96	172	5
97	173	3
98	175	1
99	177	0
